score date Name1 Name2
65 1642967137 Andras Reichardt
61 1642967931 Andras Reichardt
106 1642968711 Andras Reichardt
59 1642969068 Andras Reichardt
113 1642969762 Andras Reichardt
94 1642970047 Andras Reichardt
76 1642970553 Andras Reichardt
94 1642970773 Andras Reichardt
81 1642970877 Andras Reichardt
80 1642970993 Andras Reichardt
59 1643044698 Andras Reichardt
62 1643045289 Andras Reichardt
88 1643045754 Andras Reichardt
58 1643045854 Andras Reichardt
75 1643046442 Andras Reichardt
74 1643048934 Andras Reichardt
61 1643048997 Andras Reichardt
64 1643049246 Andras Reichardt
68 1643049318 Andras Reichardt
78 1643049399 Andras Reichardt
56 1643137156 Andras Reichardt
174 1643137771 Andras Reichardt
79 1643137852 Andras Reichardt
75 1643138019 Andras Reichardt
70 1643138349 Andras Reichardt
65 1643224914 Andras Reichardt
75 1643225075 Andras Reichardt
54 1643225208 Andras Reichardt
80 1643225440 Andras Reichardt
74 1643233748 Andras Reichardt
53 1643233928 Andras Reichardt
93 1643234026 Andras Reichardt
69 1643234097 Andras Reichardt
87 1643234325 Andras Reichardt
55 1643234383 Andras Reichardt
68 1643234555 Andras Reichardt
76 1643234644 Andras Reichardt
78 1643235033 Andras Reichardt
70 1643235166 Andras Reichardt
79 1643235628 Andras Reichardt
78 1643235851 Andras Reichardt
70 1643235924 Andras Reichardt
71 1643236000 Andras Reichardt
65 1643236070 Andras Reichardt
74 1643261986 Andras Reichardt
74 1643262124 Andras Reichardt
65 1643262192 Andras Reichardt
88 1643262619 Andras Reichardt
76 1643262844 Andras Reichardt
72 1643263603 Andras Reichardt
64 1643263904 Andras Reichardt
66 1643305881 Andras Reichardt
75 1643306037 Andras Reichardt
81 1643308555 Andras Reichardt
70 1643309069 Andras Reichardt
98 1643309278 Andras Reichardt
89 1643309378 Andras Reichardt
64 1643319944 Andras Reichardt
85 1643320329 Andras Reichardt
62 1643320460 Andras Reichardt
101 1643396700 Andras Reichardt
62 1643396765 Andras Reichardt
79 1643397065 Andras Reichardt
71 1643397218 Andras Reichardt
60 1643397284 Andras Reichardt
74 1643398502 Andras Reichardt
79 1643404682 Andras Reichardt
56 1643404789 Andras Reichardt
83 1643404890 Andras Reichardt
65 1643405404 Andras Reichardt
67 1643405474 Andras Reichardt
59 1643405564 Andras Reichardt
97 1643406538 Andras Reichardt
52 1643456006 Andras Reichardt
65 1643456832 Andras Reichardt
76 1643456965 Andras Reichardt
74 1643457108 Andras Reichardt
67 1643458174 Andras Reichardt
70 1643458390 Andras Reichardt
57 1643458449 Andras Reichardt
60 1643460745 Andras Reichardt
60 1643460864 Andras Reichardt
85 1643470354 Andras Reichardt
70 1643470735 Andras Reichardt
59 1643470971 Andras Reichardt
88 1643471208 Andras Reichardt
65 1643471329 Andras Reichardt
88 1643471423 Andras Reichardt
68 1643471495 Andras Reichardt
59 1643471779 Andras Reichardt
62 1643472577 Andras Reichardt
73 1643472762 Andras Reichardt
60 1643472825 Andras Reichardt
76 1643472912 Andras Reichardt
68 1643473020 Andras Reichardt
70 1643474166 Andras Reichardt
83 1643474252 Andras Reichardt
86 1643474450 Andras Reichardt
58 1643474514 Andras Reichardt
71 1643475853 Andras Reichardt
65 1643476032 Andras Reichardt
87 1643476178 Andras Reichardt
78 1643476261 Andras Reichardt
80 1643476344 Andras Reichardt
71 1643478117 Andras Reichardt
100 1643479561 Andras Reichardt
71 1643479983 Andras Reichardt
85 1643480383 Andras Reichardt
65 1643488280 Andras Reichardt
73 1643488576 Andras Reichardt
67 1643488677 Andras Reichardt
64 1643488796 Andras Reichardt
58 1643488920 Andras Reichardt
59 1643489310 Andras Reichardt
55 1643489406 Andras Reichardt
74 1643530446 Andras Reichardt
85 1643530536 Andras Reichardt
63 1643533675 Andras Reichardt
79 1643534066 Andras Reichardt
58 1643534140 Andras Reichardt
69 1643534349 Andras Reichardt
82 1643534705 Andras Reichardt
80 1643553285 Andras Reichardt
67 1643556220 Andras Reichardt
57 1643556343 Andras Reichardt
56 1643556495 Andras Reichardt
64 1643562158 Andras Reichardt
78 1643562240 Andras Reichardt
73 1643562758 Andras Reichardt
100 1643565039 Andras Reichardt
81 1643566146 Andras Reichardt
73 1643566324 Andras Reichardt
75 1643566404 Andras Reichardt
61 1643569185 Andras Reichardt
83 1643572764 Andras Reichardt
60 1643575271 Andras Reichardt
61 1643575344 Andras Reichardt
77 1643575424 Andras Reichardt
63 1643575489 Andras Reichardt
84 1643575665 Andras Reichardt
73 1643575746 Andras Reichardt
66 1643576050 Andras Reichardt
65 1643576279 Andras Reichardt
89 1643576382 Andras Reichardt
78 1643665139 Andras Reichardt
68 1643665210 Andras Reichardt
56 1643665463 Andras Reichardt
74 1643693486 Andras Reichardt
63 1643694392 Andras Reichardt
83 1643694478 Andras Reichardt
82 1643694619 Andras Reichardt
75 1643694981 Andras Reichardt
76 1643695129 Andras Reichardt
60 1643696284 Andras Reichardt
72 1643735334 Andras Reichardt
46 1643739193 Andras Reichardt
72 1643740577 Andras Reichardt
64 1643740671 Andras Reichardt
53 1643740822 Andras Reichardt
67 1643744836 Andras Reichardt
81 1643745113 Andras Reichardt
61 1643745295 Andras Reichardt
62 1643745379 Andras Reichardt
63 1643745503 Andras Reichardt
70 1643750040 Andras Reichardt
90 1643779608 Andras Reichardt
90 1643779771 Andras Reichardt
69 1643780635 Andras Reichardt
84 1643781098 Andras Reichardt
59 1643781198 Andras Reichardt
71 1643781329 Andras Reichardt
53 1643781567 Andras Reichardt
53 1643781683 Andras Reichardt
74 1643782164 Andras Reichardt
60 1643782722 Andras Reichardt
60 1643782879 Andras Reichardt
91 1643825448 Andras Reichardt
72 1643825701 Andras Reichardt
83 1643827600 Andras Reichardt
64 1643827852 Andras Reichardt
72 1643827927 Andras Reichardt
71 1643829160 Andras Reichardt
62 1643829314 Andras Reichardt
74 1643831168 Andras Reichardt
78 1643831422 Andras Reichardt
108 1643866689 Andras Reichardt
64 1643866825 Andras Reichardt
84 1643867538 Andras Reichardt
79 1643867840 Andras Reichardt
70 1643868047 Andras Reichardt
70 1643868361 Andras Reichardt
67 1643868725 Andras Reichardt
75 1643912646 Andras Reichardt
59 1643912710 Andras Reichardt
65 1643912917 Andras Reichardt
61 1643913006 Andras Reichardt
63 1643913088 Andras Reichardt
105 1643913348 Andras Reichardt
63 1643913413 Andras Reichardt
65 1643913605 Andras Reichardt
62 1643913716 Andras Reichardt
62 1643913784 Andras Reichardt
76 1643913951 Andras Reichardt
57 1643914596 Andras Reichardt
84 1643914769 Andras Reichardt
51 1643914839 Andras Reichardt
59 1643914966 Andras Reichardt
66 1643916889 Andras Reichardt
62 1643917076 Andras Reichardt
73 1643917420 Andras Reichardt
81 1643917530 Andras Reichardt
56 1643917848 Andras Reichardt
67 1643917918 Andras Reichardt
57 1643917995 Andras Reichardt
83 1643918087 Andras Reichardt
63 1643918153 Andras Reichardt
61 1643918315 Andras Reichardt
57 1643918381 Andras Reichardt
57 1643923177 Andras Reichardt
55 1643923266 Andras Reichardt
60 1643923473 Andras Reichardt
55 1643923985 Andras Reichardt
64 1643924054 Andras Reichardt
71 1643924529 Andras Reichardt
57 1643954521 Andras Reichardt
49 1643999672 Andras Reichardt
76 1643999910 Andras Reichardt
67 1643999980 Andras Reichardt
75 1644000221 Andras Reichardt
66 1644000289 Andras Reichardt
59 1644000441 Andras Reichardt
59 1644002369 Andras Reichardt
72 1644002445 Andras Reichardt
71 1644003693 Andras Reichardt
69 1644013457 Andras Reichardt
65 1644079920 Andras Reichardt
53 1644079975 Andras Reichardt
61 1644080042 Andras Reichardt
72 1644081375 Andras Reichardt
68 1644081446 Andras Reichardt
66 1644081567 Andras Reichardt
59 1644082308 Andras Reichardt
65 1644082375 Andras Reichardt
64 1644082456 Andras Reichardt
46 1644085412 Andras Reichardt
65 1644085960 Andras Reichardt
62 1644086385 Andras Reichardt
66 1644086488 Andras Reichardt
68 1644175563 Andras Reichardt
